,X1,X2,X3,X4,frequency
children carried signs banners,children,carried,signs,banners,2
children family services reunified,children,family,services,reunified,2
children passed house unanimously,children,passed,house,unanimously,2
children previously taken countys,children,previously,taken,countys,2
children suffer extreme physical,children,suffer,extreme,physical,2
children unlike food supplement,children,unlike,food,supplement,2
childs noveggie policy whats,childs,noveggie,policy,whats,2
chile verde also green,chile,verde,also,green,2
chimpanzees im sucker etrade,chimpanzees,im,sucker,etrade,2
chip maker audience inc,chip,maker,audience,inc,2
chips almost impossible mr,chips,almost,impossible,mr,2
chips beating metro league,chips,beating,metro,league,2
chips bit lighter nachos,chips,bit,lighter,nachos,2
chips mention tell thought,chips,mention,tell,thought,2
chips well proper sun,chips,well,proper,sun,2
choices including charters improving,choices,including,charters,improving,2
choreography crop shop offering,choreography,crop,shop,offering,2
chorizo make great greasy,chorizo,make,great,greasy,2
christie said neither agency,christie,said,neither,agency,2
christie wednesday exploited differences,christie,wednesday,exploited,differences,2
christina less charitable appraisal,christina,less,charitable,appraisal,2
christmas gift exchange big,christmas,gift,exchange,big,2
christopher placed outside family,christopher,placed,outside,family,2
chuck norris luke mills,chuck,norris,luke,mills,2
chuckled tiffany nimmons mom,chuckled,tiffany,nimmons,mom,2
cider toast noon event,cider,toast,noon,event,2
circle open gifts front,circle,open,gifts,front,2
cirque du soleil citing,cirque,du,soleil,citing,2
citing passion artistry skill,citing,passion,artistry,skill,2
city administrator fairview ore,city,administrator,fairview,ore,2
city administrator lehi utah,city,administrator,lehi,utah,2
city folk can enjoy,city,folk,can,enjoy,2
city given special permission,city,given,special,permission,2
city governments need work,city,governments,need,work,2
city great addition dining,city,great,addition,dining,2
city honored lake oswego,city,honored,lake,oswego,2
city manager joseph gall,city,manager,joseph,gall,2
city mayor glenn d,city,mayor,glenn,d,2
city ordinance ab consumption,city,ordinance,ab,consumption,2
city paring number precincts,city,paring,number,precincts,2
city’s current interim city,city’s,current,interim,city,2
civil case filed friday,civil,case,filed,friday,2
clackamas county dog services,clackamas,county,dog,services,2
clackamas federal credit union,clackamas,federal,credit,union,2
claim custody child riley,claim,custody,child,riley,3
claimed championship xmeter relay,claimed,championship,xmeter,relay,2
clamp go apply much,clamp,go,apply,much,2
clara el camino meet,clara,el,camino,meet,2
class felony child sex,class,felony,child,sex,2
class r bbif money,class,r,bbif,money,4
class r bbif treas,class,r,bbif,treas,3
classmates teacher instructed us,classmates,teacher,instructed,us,2
classroom building auditorium next,classroom,building,auditorium,next,2
claude julien gave top,claude,julien,gave,top,2
clear message canadian values,clear,message,canadian,values,2
clementi jumped death george,clementi,jumped,death,george,2
clerktreasurer elected position essentially,clerktreasurer,elected,position,essentially,2
cleveland operation part worlds,cleveland,operation,part,worlds,2
climate frayed relationships middleclass,climate,frayed,relationships,middleclass,2
clinic canby car wash,clinic,canby,car,wash,2
clinton st sarah stegner,clinton,st,sarah,stegner,2
clippers coach lou piccola,clippers,coach,lou,piccola,2
clone prairie grass cafe,clone,prairie,grass,cafe,2
close event new years,close,event,new,years,2
close government indicated favored,close,government,indicated,favored,2
close jr valley architect,close,jr,valley,architect,2
closely character witnesses message,closely,character,witnesses,message,2
closely checked conventional afghan,closely,checked,conventional,afghan,2
club canby flower farmer,club,canby,flower,farmer,2
club security chief drew,club,security,chief,drew,2
cluster symptoms including high,cluster,symptoms,including,high,2
cni charter govt mmfcl,cni,charter,govt,mmfcl,2
cni charter prime mmfcl,cni,charter,prime,mmfcl,2
coach claude julien gave,coach,claude,julien,gave,2
coach jim tressel outlier,coach,jim,tressel,outlier,2
coach jon embree said,coach,jon,embree,said,2
coach lou piccola took,coach,lou,piccola,took,2
coach tom thibodeau decided,coach,tom,thibodeau,decided,2
coached olympians including gold,coached,olympians,including,gold,2
coaches acknowledges contract disputes,coaches,acknowledges,contract,disputes,2
coaches purdues danny hope,coaches,purdues,danny,hope,2
coastline pismo beach south,coastline,pismo,beach,south,2
coating got cracked saltspray,coating,got,cracked,saltspray,2
coating steel powder coating,coating,steel,powder,coating,2
coauthor passion particular topic,coauthor,passion,particular,topic,2
cockeysville mention locales royal,cockeysville,mention,locales,royal,2
cocktails seat chefs table,cocktails,seat,chefs,table,2
coffin underfoot set perfect,coffin,underfoot,set,perfect,2
cofounder charter jet company,cofounder,charter,jet,company,2
col vershinin sarsgaard snooze,col,vershinin,sarsgaard,snooze,2
colin parker recovered ducks,colin,parker,recovered,ducks,2
colleague calling voice one,colleague,calling,voice,one,2
collective bargaining agreement plus,collective,bargaining,agreement,plus,2
college get good education,college,get,good,education,2
college midwest womens lacrosse,college,midwest,womens,lacrosse,2
college quarterback baldwinwallace even,college,quarterback,baldwinwallace,even,2
college radio station university,college,radio,station,university,2
college students able kids,college,students,able,kids,2
collier served companys groups,collier,served,companys,groups,2
collingswood senate committee meet,collingswood,senate,committee,meet,2
colorado idaho montana washington,colorado,idaho,montana,washington,2
colorados spring football drills,colorados,spring,football,drills,2
colorful new york magazine,colorful,new,york,magazine,2
colorful often packed different,colorful,often,packed,different,2
colors injecting real world,colors,injecting,real,world,2
columbia university students canvassing,columbia,university,students,canvassing,3
columbia vp cash managementcl,columbia,vp,cash,managementcl,2
combine february jason la,combine,february,jason,la,2
combine last month didnt,combine,last,month,didnt,2
combine salad unusual first,combine,salad,unusual,first,2
combined capacity megawatts seen,combined,capacity,megawatts,seen,2
combined score just series,combined,score,just,series,2
come agreement restructured deal,come,agreement,restructured,deal,2
come extrameaty addition chorizo,come,extrameaty,addition,chorizo,2
come home safely today,come,home,safely,today,2
come scrapping million mechanical,come,scrapping,million,mechanical,2
come state reasserted primacy,come,state,reasserted,primacy,2
come surprise” told officials,come,surprise”,told,officials,2
come warranties plus years,come,warranties,plus,years,2
comes ahead new round,comes,ahead,new,round,2
comes baby shrimp tortilla,comes,baby,shrimp,tortilla,2
comes doubt devoted wife,comes,doubt,devoted,wife,2
comes following research native,comes,following,research,native,2
comes hawks center jonathan,comes,hawks,center,jonathan,2
comes light though child,comes,light,though,child,2
comes lots good cutdowns,comes,lots,good,cutdowns,2
comes white house downplays,comes,white,house,downplays,2
comfort level system players,comfort,level,system,players,2
comfort zone theyre reluctant,comfort,zone,theyre,reluctant,2
comfortable samesex couples legally,comfortable,samesex,couples,legally,2
coming budget including increasing,coming,budget,including,increasing,2
coming montreal teams looking,coming,montreal,teams,looking,2
commanded dont overlook delightful,commanded,dont,overlook,delightful,2
comments top administration officials,comments,top,administration,officials,2
commercial real estate broker,commercial,real,estate,broker,2
commission administrator raymond martinez,commission,administrator,raymond,martinez,2
commissioner bret schundler fired,commissioner,bret,schundler,fired,2
commissioner gary bettman gave,commissioner,gary,bettman,gave,2
commissioner michael whan said,commissioner,michael,whan,said,2
committee meet tomorrow rutgers,committee,meet,tomorrow,rutgers,2
communications officer us navy,communications,officer,us,navy,2
communitize occupy everything others,communitize,occupy,everything,others,2
community long regarded syria,community,long,regarded,syria,2
community part chinas population,community,part,chinas,population,2
community people experiencing things,community,people,experiencing,things,2
community services jordan vcoc,community,services,jordan,vcoc,3
companies city governments need,companies,city,governments,need,2
companies world par likes,companies,world,par,likes,2
company ask contractor copy,company,ask,contractor,copy,3
company headquarters four priority,company,headquarters,four,priority,2
company last year added,company,last,year,added,2
company pleaded guilty today,company,pleaded,guilty,today,2
company principally makes flatrolled,company,principally,makes,flatrolled,2
company several years illfated,company,several,years,illfated,2
company stemsave company take,company,stemsave,company,take,2
company take wisdom teeth,company,take,wisdom,teeth,2
company us headquarters fort,company,us,headquarters,fort,2
companys annual meeting june,companys,annual,meeting,june,2
companys groups chief operating,companys,groups,chief,operating,2
companys revenue percent income,companys,revenue,percent,income,2
compass cost million made,compass,cost,million,made,2
compatriots take pictures leave,compatriots,take,pictures,leave,3
compelled accelerate plans vice,compelled,accelerate,plans,vice,2
competent quickly youll never,competent,quickly,youll,never,2
competes events world youth,competes,events,world,youth,2
competition billion contract design,competition,billion,contract,design,2
competitor ford’s fourcylinder turbocharged,competitor,ford’s,fourcylinder,turbocharged,2
completed mr e still,completed,mr,e,still,2
complex computer systems army,complex,computer,systems,army,2
complex financial product center,complex,financial,product,center,2
complying settlement agreement instead,complying,settlement,agreement,instead,2
computer systems army base,computer,systems,army,base,2
conan obrien sitting chat,conan,obrien,sitting,chat,2
concealing felony hindering prosecution,concealing,felony,hindering,prosecution,2
concert titled peace music,concert,titled,peace,music,2
concerto showcased oboe strings,concerto,showcased,oboe,strings,2
conclude draft saturday beginning,conclude,draft,saturday,beginning,2
concluded earlier year gay,concluded,earlier,year,gay,2
conclusion yet becker explained,conclusion,yet,becker,explained,2
concourse miniature reimagined agora,concourse,miniature,reimagined,agora,2
concussions recent years nhl,concussions,recent,years,nhl,2
condition anonymity discuss internal,condition,anonymity,discuss,internal,2
conditioning level club train,conditioning,level,club,train,2
condone vandalism theres motto,condone,vandalism,theres,motto,3
conference glad western arab,conference,glad,western,arab,2
conference september flew minneapolis,conference,september,flew,minneapolis,2
conference victory visiting carthage,conference,victory,visiting,carthage,2
confident make money last,confident,make,money,last,2
confirmation heralds new postsexual,confirmation,heralds,new,postsexual,2
congress later killed program,congress,later,killed,program,2
congress within authority require,congress,within,authority,require,2
congressional black caucus join,congressional,black,caucus,join,2
connected exhusband keeps threatening,connected,exhusband,keeps,threatening,3
connection burglary home whitty,connection,burglary,home,whitty,2
connection caf� bally’s said,connection,caf�,bally’s,said,2
connection crash teterboro airport,connection,crash,teterboro,airport,2
cons christina less charitable,cons,christina,less,charitable,2
consent agreement facts city�s,consent,agreement,facts,city�s,2
consequences actions worse situation,consequences,actions,worse,situation,2
conservation ducks unlimited supported,conservation,ducks,unlimited,supported,2
considered viable candidates transplants,considered,viable,candidates,transplants,2
considering form drug testing,considering,form,drug,testing,2
consolidating one high school,consolidating,one,high,school,2
constitutional amendment ban gay,constitutional,amendment,ban,gay,2
construction costs depends kind,construction,costs,depends,kind,2
construction executive william neiheiser,construction,executive,william,neiheiser,2
construction value project much,construction,value,project,much,2
consumption alcoholopen container public,consumption,alcoholopen,container,public,2
contain least percent given,contain,least,percent,given,2
contained little hint assad,contained,little,hint,assad,2
container alcohol public faces,container,alcohol,public,faces,2
container public person seen,container,public,person,seen,2
contains kansas city given,contains,kansas,city,given,2
contention many syria want,contention,many,syria,want,2
continually surprised find caliber,continually,surprised,find,caliber,2
continue akerson former president,continue,akerson,former,president,2
continue night races tourists,continue,night,races,tourists,2
continue scheduled possible loss,continue,scheduled,possible,loss,2
continue work game said,continue,work,game,said,2
continued decline nostrings free,continued,decline,nostrings,free,2
continues training weeks schools,continues,training,weeks,schools,2
continues undiminished signal moment,continues,undiminished,signal,moment,2
continuing drive growth brewing,continuing,drive,growth,brewing,2
contract design build new,contract,design,build,new,2
contract disputes reality pro,contract,disputes,reality,pro,2
contractor copy license number,contractor,copy,license,number,3
contractor think work check,contractor,think,work,check,3
contracts corey williams louis,contracts,corey,williams,louis,2
contracts leased planes us,contracts,leased,planes,us,2
contractual disagreement two parties,contractual,disagreement,two,parties,2
contrast machu picchu became,contrast,machu,picchu,became,2
control wont quite bad,control,wont,quite,bad,2
controversial antichristian elements producers,controversial,antichristian,elements,producers,2
convention speaking condition anonymity,convention,speaking,condition,anonymity,2
conventional afghan forces often,conventional,afghan,forces,often,2
conversationfriendly wheelchair accessible valet,conversationfriendly,wheelchair,accessible,valet,2
conversations said white house,conversations,said,white,house,2
converts tasting richard corbos,converts,tasting,richard,corbos,2
convinced simply holding inmates,convinced,simply,holding,inmates,2
coo tim strauch health,coo,tim,strauch,health,3
cookies stolen thursday morning,cookies,stolen,thursday,morning,2
cooking team behind legendary,cooking,team,behind,legendary,2
cool hes like daryl,cool,hes,like,daryl,2
coowner george maloof “,coowner,george,maloof,“,2
copied work writing fast,copied,work,writing,fast,2
copy license number liability,copy,license,number,liability,3
corbos take rustic venetianinspired,corbos,take,rustic,venetianinspired,2
core principles free democratic,core,principles,free,democratic,2
corey caidenhead aaron younger,corey,caidenhead,aaron,younger,2
corey williams louis delmas,corey,williams,louis,delmas,2
corp wife helen o,corp,wife,helen,o,2
correct type soil orchids,correct,type,soil,orchids,2
corruptionrelated crimes former construction,corruptionrelated,crimes,former,construction,2
cost million made million,cost,million,made,million,2
cost square foot expect,cost,square,foot,expect,2
costco stores oregon alaska,costco,stores,oregon,alaska,2
costs depends kind project,costs,depends,kind,project,2
costs government red tape,costs,government,red,tape,2
coughlin said nfl scouting,coughlin,said,nfl,scouting,2
couldnt keep building raised,couldnt,keep,building,raised,2
councilwoman lorri galloway said,councilwoman,lorri,galloway,said,2
counting prorated bonus torii,counting,prorated,bonus,torii,2
country canada mexico us,country,canada,mexico,us,2
country full shadow zones,country,full,shadow,zones,2
country ridiculous said kingsbury,country,ridiculous,said,kingsbury,2
countrys large arab minority,countrys,large,arab,minority,2
counts say mahmoud told,counts,say,mahmoud,told,2
county — theres plenty,county,—,theres,plenty,2
county abuse comes light,county,abuse,comes,light,2
county attorney rick romleys,county,attorney,rick,romleys,2
county charged connection burglary,county,charged,connection,burglary,2
county common pleas judge,county,common,pleas,judge,2
county contains kansas city,county,contains,kansas,city,2
county dog services fido,county,dog,services,fido,2
county engineers office employee,county,engineers,office,employee,2
county juvenile detention center,county,juvenile,detention,center,2
county major crimes team,county,major,crimes,team,2
county medical examiners office,county,medical,examiners,office,2
county prosecutor’s office investigating,county,prosecutor’s,office,investigating,2
county republican party make,county,republican,party,make,2
county sheriff sandra hutchens,county,sheriff,sandra,hutchens,3
county smoked bacon basil,county,smoked,bacon,basil,2
county united way member,county,united,way,member,2
county warrant yearold shakopee,county,warrant,yearold,shakopee,2
countys annual spirit volunteerism,countys,annual,spirit,volunteerism,3
countys department children family,countys,department,children,family,2
couples legal right marry,couples,legal,right,marry,2
course anaheim picks play,course,anaheim,picks,play,2
course depend private sector,course,depend,private,sector,2
courses clean urine tests,courses,clean,urine,tests,2
court case pursue reimbursement,court,case,pursue,reimbursement,2
court south parker road,court,south,parker,road,2
court upholds law finds,court,upholds,law,finds,2
couture marleau combined score,couture,marleau,combined,score,2
covered departments firstever collective,covered,departments,firstever,collective,2
covered teams message never,covered,teams,message,never,2
coverings tiles can easily,coverings,tiles,can,easily,2
covers miles coastline pismo,covers,miles,coastline,pismo,2
cowriter zak penn aware,cowriter,zak,penn,aware,2
cps brizard said philosophies,cps,brizard,said,philosophies,2
crack us defense sector,crack,us,defense,sector,2
cracked powder coating steel,cracked,powder,coating,steel,2
cracked saltspray get rest,cracked,saltspray,get,rest,2
cracking hear people think,cracking,hear,people,think,2
cracks one left behind,cracks,one,left,behind,2
crash teterboro airport authorities,crash,teterboro,airport,authorities,2
crawling shopping thames street,crawling,shopping,thames,street,2
crazy weekend ended cavaliers,crazy,weekend,ended,cavaliers,2
cream sam stover mixes,cream,sam,stover,mixes,2
creating real sense mystery,creating,real,sense,mystery,2
creating robust portfolio school,creating,robust,portfolio,school,2
creator bones tce finder,creator,bones,tce,finder,2
credit cards dc ds,credit,cards,dc,ds,2
credit film production brought,credit,film,production,brought,2
credit union cutsforths thriftway,credit,union,cutsforths,thriftway,2
credited new jersey transitrelated,credited,new,jersey,transitrelated,2
credits digital advances primarily,credits,digital,advances,primarily,2
credits include passing strange,credits,include,passing,strange,2
creek bed steppingstones keeping,creek,bed,steppingstones,keeping,2
creek go southeast boulder,creek,go,southeast,boulder,2
creek several times unless,creek,several,times,unless,2
crime camp convinced simply,crime,camp,convinced,simply,2
crime punishment plants smart,crime,punishment,plants,smart,2
crimes former construction executive,crimes,former,construction,executive,2
crinkly body cleaning waste,crinkly,body,cleaning,waste,2
crisis fudge said housing,crisis,fudge,said,housing,2
crisis since great depression,crisis,since,great,depression,2
critical situations hes able,critical,situations,hes,able,2
criticism students allowed innovative,criticism,students,allowed,innovative,2
critics acknowledge violent crime,critics,acknowledge,violent,crime,2
crop shop offering produce,crop,shop,offering,produce,2
crosses recrosses creek several,crosses,recrosses,creek,several,2
crossings like one tultitlan,crossings,like,one,tultitlan,2
cruze went production company,cruze,went,production,company,2
csus main classroom building,csus,main,classroom,building,2
culinary choreography crop shop,culinary,choreography,crop,shop,2
culturally economically said hoboken,culturally,economically,said,hoboken,2
cunningham pushed ordinance requiring,cunningham,pushed,ordinance,requiring,2
cup ounces dark brown,cup,ounces,dark,brown,2
cupertino monta vista fremont,cupertino,monta,vista,fremont,2
curious carted bones remnants,curious,carted,bones,remnants,2
curling olympic sport can,curling,olympic,sport,can,2
curling question always go,curling,question,always,go,2
current interim city manager,current,interim,city,manager,2
curt shonda schilling helping,curt,shonda,schilling,helping,2
custard silky texture merest,custard,silky,texture,merest,2
custards make special side,custards,make,special,side,2
custody child riley thomas,custody,child,riley,thomas,3
custom cabinets expensive floor,custom,cabinets,expensive,floor,2
customers ate barbecue swigged,customers,ate,barbecue,swigged,2
customers usually able find,customers,usually,able,find,2
cut “i’ve long prepared,cut,“i’ve,long,prepared,2
cut eliminating regular preschool,cut,eliminating,regular,preschool,2
cutdowns camera loves think,cutdowns,camera,loves,think,2
cuts deep including possible,cuts,deep,including,possible,2
cutsforths thriftway daves prescription,cutsforths,thriftway,daves,prescription,2
cutting controversial antichristian elements,cutting,controversial,antichristian,elements,2
cutting jerusalem neighborhoods saying,cutting,jerusalem,neighborhoods,saying,2
cuyahoga county common pleas,cuyahoga,county,common,pleas,2
cuyahoga valley national park,cuyahoga,valley,national,park,2
d cunningham pushed ordinance,d,cunningham,pushed,ordinance,2
d r first amer,d,r,first,amer,3
da’s office put statement,da’s,office,put,statement,2
dad showering scrubbing crinkly,dad,showering,scrubbing,crinkly,2
daily across county abuse,daily,across,county,abuse,2
daily income fundus treasinv,daily,income,fundus,treasinv,2
dallas graduate yale school,dallas,graduate,yale,school,2
dallas posting mavericks smaller,dallas,posting,mavericks,smaller,2
dallas trail blazers never,dallas,trail,blazers,never,2
damaged stagnant wages rapidfire,damaged,stagnant,wages,rapidfire,2
damascus free admission donation,damascus,free,admission,donation,2
damascusbased participant kucinichs tuesday,damascusbased,participant,kucinichs,tuesday,2
dan mcquaidand former vcoc,dan,mcquaidand,former,vcoc,3
dana brown foundation us,dana,brown,foundation,us,2
dangerous weather extremely unpredictable,dangerous,weather,extremely,unpredictable,2
danny hope indianas kevin,danny,hope,indianas,kevin,2
daryl dixon except without,daryl,dixon,except,without,2
date think happen americans,date,think,happen,americans,2
dates wastes money worse,dates,wastes,money,worse,2
daughter went use bathroom,daughter,went,use,bathroom,2
daves prescription show dr,daves,prescription,show,dr,2
david krejci pine time,david,krejci,pine,time,2
david pritchard houston petroleum,david,pritchard,houston,petroleum,2
david rees lowered peterson’s,david,rees,lowered,peterson’s,2
davidson avenue provided details,davidson,avenue,provided,details,2
davies said hes hopeful,davies,said,hes,hopeful,2
day just hope invite,day,just,hope,invite,2
day monday friday three,day,monday,friday,three,2
day president obama said,day,president,obama,said,2
day remarkable kid hadnt,day,remarkable,kid,hadnt,2
day sat circle open,day,sat,circle,open,2
day six days week,day,six,days,week,2
days blends labeled without,days,blends,labeled,without,2
days hires precinct workers,days,hires,precinct,workers,2
days inmates always asking,days,inmates,always,asking,2
days roommate dharun ravi,days,roommate,dharun,ravi,2
days week running lifting,days,week,running,lifting,2
dazzling adaptation philip pullmans,dazzling,adaptation,philip,pullmans,2
dc ds m v,dc,ds,m,v,2
dc wilson co llc,dc,wilson,co,llc,2
dcfs investigation seemed surprised,dcfs,investigation,seemed,surprised,2
deadline wild winger marian,deadline,wild,winger,marian,2
deadly traffic incident involving,deadly,traffic,incident,involving,2
deal like track character,deal,like,track,character,2
deal misinformation circulating company,deal,misinformation,circulating,company,2
deal research showing women,deal,research,showing,women,2
deal rising tensions highlight,deal,rising,tensions,highlight,2
deal us department transportation,deal,us,department,transportation,2
deal veteran looks forward,deal,veteran,looks,forward,2
deandre liggins kentucky team,deandre,liggins,kentucky,team,2
death george washington bridge,death,george,washington,bridge,2
death taxes course depend,death,taxes,course,depend,2
debate crime punishment plants,debate,crime,punishment,plants,2
dec join phoenix zoo,dec,join,phoenix,zoo,2
decades result giving hearts,decades,result,giving,hearts,2
decision delay decision keystone,decision,delay,decision,keystone,2
decision keystone pipeline shortterm,decision,keystone,pipeline,shortterm,2
decision somewhat surprising especially,decision,somewhat,surprising,especially,2
decisions withholding food terminal,decisions,withholding,food,terminal,2
declared discovery early th,declared,discovery,early,th,2
declared support gay marriage,declared,support,gay,marriage,2
decline nostrings free checking,decline,nostrings,free,checking,2
declined percent since transaction,declined,percent,since,transaction,2
declined release specific financial,declined,release,specific,financial,2
decorously smudged dirt forehead,decorously,smudged,dirt,forehead,3
dedication matter breading wasnt,dedication,matter,breading,wasnt,2
deemed unimportant least less,deemed,unimportant,least,less,2
deep including possible cuts,deep,including,possible,cuts,2
deeply sorry distractions also,deeply,sorry,distractions,also,2
defeated two god pleased,defeated,two,god,pleased,2
defenders geniuses argue victims,defenders,geniuses,argue,victims,2
defense always just heart,defense,always,just,heart,2
defense sector won two,defense,sector,won,two,2
defensive lineman mike devito,defensive,lineman,mike,devito,2
deficit next school year,deficit,next,school,year,2
define riccelli graduate magnificat,define,riccelli,graduate,magnificat,2
del monte fresh produce,del,monte,fresh,produce,2
delay decision keystone pipeline,delay,decision,keystone,pipeline,2
delay reduced practice time,delay,reduced,practice,time,2
delbased publicist curt shonda,delbased,publicist,curt,shonda,2
delicate savory custard silky,delicate,savory,custard,silky,2
deliciously green vegetarian option,deliciously,green,vegetarian,option,2
delightful weekend brunch recommended,delightful,weekend,brunch,recommended,2
delivered can doubt now,delivered,can,doubt,now,2
delmas gosder cherilus taste,delmas,gosder,cherilus,taste,2
delta wont disclose percentage,delta,wont,disclose,percentage,2
deltas vice president marketing,deltas,vice,president,marketing,2
demand applications surge state,demand,applications,surge,state,2
demand tax subsidies almost,demand,tax,subsidies,almost,2
demanding reeve frequently playing,demanding,reeve,frequently,playing,2
demo flight go way,demo,flight,go,way,2
democrat said felt states,democrat,said,felt,states,2
democratic gov ted strickland,democratic,gov,ted,strickland,2
democratic society canadians enjoy,democratic,society,canadians,enjoy,2
democraticsponsored plan embracing proposal,democraticsponsored,plan,embracing,proposal,2
denier said david pritchard,denier,said,david,pritchard,2
dense souffle made lobster,dense,souffle,made,lobster,2
department children family services,department,children,family,services,2
department conservation ducks unlimited,department,conservation,ducks,unlimited,2
department hires additional parttime,department,hires,additional,parttime,2
department make progress complying,department,make,progress,complying,2
department transportation reduce new,department,transportation,reduce,new,2
departments firstever collective bargaining,departments,firstever,collective,bargaining,2
departure date think happen,departure,date,think,happen,2
depend private sector bring,depend,private,sector,bring,2
depending scope general rule,depending,scope,general,rule,2
depends huey earnestly likeable,depends,huey,earnestly,likeable,2
depends kind incentives utilized,depends,kind,incentives,utilized,3
depends kind project level,depends,kind,project,level,2
deputy must check regularly,deputy,must,check,regularly,2
deputy sheriff keith jay,deputy,sheriff,keith,jay,3
describes shift formal fatherson,describes,shift,formal,fatherson,2
desdemona jones broadway credits,desdemona,jones,broadway,credits,2
design build new bart,design,build,new,bart,2
designation generally cant labeled,designation,generally,cant,labeled,2
despite weakness mature economies,despite,weakness,mature,economies,2
destination thats virtual clone,destination,thats,virtual,clone,2
detail mike bader said,detail,mike,bader,said,2
details affair noting following,details,affair,noting,following,2
details might stabbed men,details,might,stabbed,men,2
determine player standards expects,determine,player,standards,expects,2
determined accidental left interior,determined,accidental,left,interior,2
determined looters curious carted,determined,looters,curious,carted,2
determined students got emails,determined,students,got,emails,2
detroiters support consent agreement,detroiters,support,consent,agreement,2
devastated al qaedas leadership,devastated,al,qaedas,leadership,2
developers listed city clerks,developers,listed,city,clerks,2
development secretary shaun donovan,development,secretary,shaun,donovan,2
developmental disabilities touchpoint autism,developmental,disabilities,touchpoint,autism,2
devices ohio bridge cuyahoga,devices,ohio,bridge,cuyahoga,2
devised delicate savory custard,devised,delicate,savory,custard,2
devito happy team able,devito,happy,team,able,2
devito satisfied jets defensive,devito,satisfied,jets,defensive,2
devoted time resources player,devoted,time,resources,player,2
devoted wife desdemona jones,devoted,wife,desdemona,jones,2
dharun ravi allegedly used,dharun,ravi,allegedly,used,2
diabetes — perhaps time,diabetes,—,perhaps,time,2
diamond via jeanmar gomez’s,diamond,via,jeanmar,gomez’s,2
didnt affect hand draws,didnt,affect,hand,draws,2
didnt believe ahmad bradshaw,didnt,believe,ahmad,bradshaw,2
didnt believe proved beyond,didnt,believe,proved,beyond,2
didnt feel guys good,didnt,feel,guys,good,2
didnt keep getting way,didnt,keep,getting,way,3
died long battle cancer,died,long,battle,cancer,2
differences two democraticsponsored plan,differences,two,democraticsponsored,plan,2
different anyone else julien,different,anyone,else,julien,2
different textures flavors now,different,textures,flavors,now,2
difficulty falsetto really really,difficulty,falsetto,really,really,2
digital advances primarily missing,digital,advances,primarily,missing,2
dillon swiftly took reins,dillon,swiftly,took,reins,2
dimensional plus difficulty falsetto,dimensional,plus,difficulty,falsetto,2
dining room back —,dining,room,back,—,2
dining room commanded dont,dining,room,commanded,dont,2
dinner lunch mondaysunday brunch,dinner,lunch,mondaysunday,brunch,2
directinjection engine competitor ford’s,directinjection,engine,competitor,ford’s,2
director guadalupenipomo dunes center,director,guadalupenipomo,dunes,center,2
director pwcs entertainment media,director,pwcs,entertainment,media,2
dirt forehead point shes,dirt,forehead,point,shes,3
disabilities touchpoint autism services,disabilities,touchpoint,autism,services,2
disappearance foster care one,disappearance,foster,care,one,2
disappointed novels fans sanitized,disappointed,novels,fans,sanitized,2
disciplines route helping humanity,disciplines,route,helping,humanity,2
disclose details affair noting,disclose,details,affair,noting,2
disclose percentage passengers buy,disclose,percentage,passengers,buy,2
discovered diabetes — perhaps,discovered,diabetes,—,perhaps,2
discovered love journalism working,discovered,love,journalism,working,2
discovery early th century,discovery,early,th,century,2
discuss internal white house,discuss,internal,white,house,2
discuss revamping immigration system,discuss,revamping,immigration,system,3
discussions tehran iaea held,discussions,tehran,iaea,held,2
disease stroke type diabetes,disease,stroke,type,diabetes,2
dish beef pork roast,dish,beef,pork,roast,2
disney close event new,disney,close,event,new,2
disney world happened join,disney,world,happened,join,2
disneyland hotel anaheim among,disneyland,hotel,anaheim,among,3
disorderly conduct yearold shakopee,disorderly,conduct,yearold,shakopee,2
dispute spring rise can,dispute,spring,rise,can,2
disputes reality pro sports,disputes,reality,pro,sports,2
distance still state record,distance,still,state,record,2
distractions also said great,distractions,also,said,great,2
district examine relationship service,district,examine,relationship,service,2
district faces million deficit,district,faces,million,deficit,2
district judge sara lioi,district,judge,sara,lioi,2
district officials establish monitor,district,officials,establish,monitor,2
district officials wait see,district,officials,wait,see,2
district property operate performance,district,property,operate,performance,2
district residents staff worried,district,residents,staff,worried,2
disturbances among countrys large,disturbances,among,countrys,large,2
division accounted percent companys,division,accounted,percent,companys,2
division scholarship um called,division,scholarship,um,called,2
dixie republicans seem united,dixie,republicans,seem,united,2
dixon except without namby,dixon,except,without,namby,2
dixon portrayed michael rooker,dixon,portrayed,michael,rooker,2
dizziness four passengers fainted,dizziness,four,passengers,fainted,2
dmz meant operating complex,dmz,meant,operating,complex,2
dnj reached deal us,dnj,reached,deal,us,2
doesnt care need fight,doesnt,care,need,fight,2
doesnt mean industry given,doesnt,mean,industry,given,2
doesnt mean wont mcbride,doesnt,mean,wont,mcbride,2
doesnt much mobility break,doesnt,much,mobility,break,2
dog finally got nerve,dog,finally,got,nerve,2
dog food around sensitive,dog,food,around,sensitive,3
dog romp live music,dog,romp,live,music,2
dog services fido charity,dog,services,fido,charity,2
dog weego ok although,dog,weego,ok,although,2
dogs welcome proceeds benefit,dogs,welcome,proceeds,benefit,2
dolans tenure included mixed,dolans,tenure,included,mixed,2
dollars dining room commanded,dollars,dining,room,commanded,2
dollars twilight year outfielders,dollars,twilight,year,outfielders,2
