,X1,X2,X3,word,frequency
in_the_room,in,the,room,in_the_room,68
in_the_city,in,the,city,in_the_city,62
in_the_future1,in,the,future,in_the_future,62
in_the_us,in,the,us,in_the_us,59
in_the_last1,in,the,last,in_the_last,56
in_the_first2,in,the,first,in_the_first,35
in_the_second,in,the,second,in_the_second,26
in_the_past2,in,the,past,in_the_past,25
in_the_third,in,the,third,in_the_third,19
in_the_city1,in,the,city,in_the_city,17
in_the_middle2,in,the,middle,in_the_middle,16
in_the_state,in,the,state,in_the_state,15
in_the_world2,in,the,world,in_the_world,15
in_the_last2,in,the,last,in_the_last,15
in_the_fourth,in,the,fourth,in_the_fourth,15
in_the_united1,in,the,united,in_the_united,14
in_the_u.s,in,the,u.s,in_the_u.s,13
in_the_country1,in,the,country,in_the_country,11
in_the_early1,in,the,early,in_the_early,10
in_the_same2,in,the,same,in_the_same,10
in_the_summer,in,the,summer,in_the_summer,10
in_the_back1,in,the,back,in_the_back,9
in_the_playoffs,in,the,playoffs,in_the_playoffs,9
in_the_future2,in,the,future,in_the_future,9
in_the_case,in,the,case,in_the_case,9
in_the_process1,in,the,process,in_the_process,9
in_the_way1,in,the,way,in_the_way,9
in_the_area,in,the,area,in_the_area,8
in_the_next2,in,the,next,in_the_next,8
in_the_end2,in,the,end,in_the_end,8
in_the_top,in,the,top,in_the_top,8
in_the_nba,in,the,nba,in_the_nba,8
in_the_public,in,the,public,in_the_public,7
in_the_wake,in,the,wake,in_the_wake,7
in_the_day,in,the,day,in_the_day,7
in_the_house2,in,the,house,in_the_house,6
in_the_short,in,the,short,in_the_short,6
in_the_region,in,the,region,in_the_region,6
in_the_league,in,the,league,in_the_league,6
in_the_final,in,the,final,in_the_final,6
in_the_right1,in,the,right,in_the_right,5
in_the_county,in,the,county,in_the_county,5
in_the_seventh,in,the,seventh,in_the_seventh,5
in_the_game,in,the,game,in_the_game,5
in_the_late,in,the,late,in_the_late,5
in_the_eighth,in,the,eighth,in_the_eighth,5
in_the_background,in,the,background,in_the_background,5
in_the_east,in,the,east,in_the_east,5
in_the_community,in,the,community,in_the_community,5
in_the_air1,in,the,air,in_the_air,5
in_the_head,in,the,head,in_the_head,5
in_this_case,in,this,case,in_this_case,114
in_time_for,in,time,for,in_time_for,5
in_two_weeks,in,two,weeks,in_two_weeks,5
in_which_the,in,which,the,in_which_the,68
in_which_the1,in,which,the,in_which_the,7
in_which_he,in,which,he,in_which_he,7
in_your_life,in,your,life,in_your_life,82
interest_in_the,interest,in,the,interest_in_the,6
invasion_of_privacy,invasion,of,privacy,invasion_of_privacy,5
involved_in_the,involved,in,the,involved_in_the,11
is_a_great1,is,a,great,is_a_great,137
is_a_great,is,a,great,is_a_great,135
is_a_very,is,a,very,is_a_very,134
is_a_good,is,a,good,is_a_good,128
is_a_good1,is,a,good,is_a_good,118
is_a_bit,is,a,bit,is_a_bit,89
is_a_little,is,a,little,is_a_little,83
is_a_lot,is,a,lot,is_a_lot,75
is_a_little1,is,a,little,is_a_little,6
is_a_lot1,is,a,lot,is_a_lot,6
is_a_great2,is,a,great,is_a_great,5
is_a_huge,is,a,huge,is_a_huge,5
is_about_to,is,about,to,is_about_to,91
is_accused_of,is,accused,of,is_accused_of,5
is_also_a,is,also,a,is_also_a,85
is_better_than,is,better,than,is_better_than,57
is_expected_to,is,expected,to,is_expected_to,16
is_going_to1,is,going,to,is_going_to,453
is_going_to,is,going,to,is_going_to,294
is_going_on,is,going,on,is_going_on,56
is_going_to2,is,going,to,is_going_to,24
is_gonna_be,is,gonna,be,is_gonna_be,105
is_having_a,is,having,a,is_having_a,71
is_home_to,is,home,to,is_home_to,5
is_in_the,is,in,the,is_in_the,152
is_in_the1,is,in,the,is_in_the,146
is_in_the2,is,in,the,is_in_the,10
is_in_a,is,in,a,is_in_a,6
is_just_a,is,just,a,is_just_a,80
is_like_a,is,like,a,is_like_a,77
is_my_favorite,is,my,favorite,is_my_favorite,67
is_not_a,is,not,a,is_not_a,204
is_not_the,is,not,the,is_not_the,145
is_not_a1,is,not,a,is_not_a,137
is_not_the1,is,not,the,is_not_the,62
is_not_a2,is,not,a,is_not_a,11
is_not_to,is,not,to,is_not_to,6
is_not_an,is,not,an,is_not_an,6
is_not_the2,is,not,the,is_not_the,5
is_on_the1,is,on,the,is_on_the,97
is_on_the,is,on,the,is_on_the,80
is_on_the2,is,on,the,is_on_the,6
is_one_of,is,one,of,is_one_of,374
is_one_of1,is,one,of,is_one_of,172
is_one_of2,is,one,of,is_one_of,37
is_open_to,is,open,to,is_open_to,5
is_part_of,is,part,of,is_part_of,8
is_scheduled_to,is,scheduled,to,is_scheduled_to,9
is_so_much,is,so,much,is_so_much,73
is_such_a1,is,such,a,is_such_a,87
is_such_a,is,such,a,is_such_a,86
is_that_the,is,that,the,is_that_the,141
is_that_i,is,that,i,is_that_i,114
is_that_it,is,that,it,is_that_it,89
is_that_a,is,that,a,is_that_a,58
is_that_the1,is,that,the,is_that_the,8
is_the_best1,is,the,best,is_the_best,228
is_the_first,is,the,first,is_the_first,113
is_the_only,is,the,only,is_the_only,105
is_the_most1,is,the,most,is_the_most,99
is_the_only1,is,the,only,is_the_only,91
is_the_best,is,the,best,is_the_best,85
is_the_most,is,the,most,is_the_most,85
is_the_first1,is,the,first,is_the_first,57
is_the_new,is,the,new,is_the_new,57
is_the_only2,is,the,only,is_the_only,10
is_the_first2,is,the,first,is_the_first,5
is_there_a,is,there,a,is_there_a,113
is_to_be,is,to,be,is_to_be,77
is_trying_to,is,trying,to,is_trying_to,55
is_trying_to1,is,trying,to,is_trying_to,13
is_what_i,is,what,i,is_what_i,118
is_your_favorite,is,your,favorite,is_your_favorite,58
issued_a_statement,issued,a,statement,issued_a_statement,5
it_and_i,it,and,i,it_and_i,75
it_as_a,it,as,a,it_as_a,101
it_as_a1,it,as,a,it_as_a,5
it_but_i,it,but,i,it_but_i,77
it_can_be,it,can,be,it_can_be,159
it_comes_to,it,comes,to,it_comes_to,193
it_comes_to1,it,comes,to,it_comes_to,76
it_comes_to2,it,comes,to,it_comes_to,9
it_could_be,it,could,be,it_could_be,75
it_could_be1,it,could,be,it_could_be,7
it_does_not,it,does,not,it_does_not,71
it_has_been,it,has,been,it_has_been,208
it_has_a,it,has,a,it_has_a,73
it_has_been1,it,has,been,it_has_been,61
it_has_been2,it,has,been,it_has_been,11
it_he_said,it,he,said,it_he_said,6
it_in_the,it,in,the,it_in_the,141
it_in_the1,it,in,the,it_in_the,83
it_in_a,it,in,a,it_in_a,74
it_is_a,it,is,a,it_is_a,499
it_is_the,it,is,the,it_is_the,265
it_is_not,it,is,not,it_is_not,262
it_is_a1,it,is,a,it_is_a,159
it_is_to,it,is,to,it_is_to,94
it_is_also,it,is,also,it_is_also,88
it_is_so,it,is,so,it_is_so,85
it_is_not1,it,is,not,it_is_not,80
it_is_the1,it,is,the,it_is_the,77
it_is_an,it,is,an,it_is_an,69
it_is_a2,it,is,a,it_is_a,13
it_is_not2,it,is,not,it_is_not,9
it_is_to1,it,is,to,it_is_to,6
it_looks_like1,it,looks,like,it_looks_like,102
it_looks_like,it,looks,like,it_looks_like,69
it_makes_me,it,makes,me,it_makes_me,64
it_may_be,it,may,be,it_may_be,80
it_might_be,it,might,be,it_might_be,81
it_on_the,it,on,the,it_on_the,91
it_on_the1,it,on,the,it_on_the,70
it_seems_that,it,seems,that,it_seems_that,69
it_should_be,it,should,be,it_should_be,92
it_should_be1,it,should,be,it_should_be,82
it_takes_to,it,takes,to,it_takes_to,8
it_to_the,it,to,the,it_to_the,144
it_to_be,it,to,be,it_to_be,110
it_to_the1,it,to,the,it_to_the,90
it_to_the2,it,to,the,it_to_the,10
it_turns_out,it,turns,out,it_turns_out,82
it_was_a,it,was,a,it_was_a,685
it_was_a1,it,was,a,it_was_a,312
it_was_the,it,was,the,it_was_the,281
it_was_not,it,was,not,it_was_not,121
it_was_so,it,was,so,it_was_so,119
it_was_just,it,was,just,it_was_just,103
it_was_an,it,was,an,it_was_an,93
it_was_great,it,was,great,it_was_great,90
it_was_the1,it,was,the,it_was_the,86
it_was_so1,it,was,so,it_was_so,84
it_was_time,it,was,time,it_was_time,78
it_was_my,it,was,my,it_was_my,74
it_was_a2,it,was,a,it_was_a,23
it_was_the2,it,was,the,it_was_the,17
it_was_just1,it,was,just,it_was_just,10
it_was_an1,it,was,an,it_was_an,8
it_will_be,it,will,be,it_will_be,268
it_will_be1,it,will,be,it_will_be,192
it_will_be2,it,will,be,it_will_be,15
it_would_be,it,would,be,it_would_be,379
it_would_be1,it,would,be,it_would_be,223
it_would_be2,it,would,be,it_would_be,20
itâ_s_a,itâ,s,a,itâ_s_a,8
itâ_s_not,itâ,s,not,itâ_s_not,5
items_such_as,items,such,as,items_such_as,5
it's_a_good,it's,a,good,it's_a_good,73
it's_a_good1,it's,a,good,it's_a_good,5
it's_all_about,it's,all,about,it's_all_about,59
it's_been_a1,it's,been,a,it's_been_a,97
it's_been_a,it's,been,a,it's_been_a,84
it's_going_to1,it's,going,to,it's_going_to,136
it's_going_to,it's,going,to,it's_going_to,79
it's_going_to2,it's,going,to,it's_going_to,11
it's_gonna_be,it's,gonna,be,it's_gonna_be,71
it's_hard_to,it's,hard,to,it's_hard_to,90
it's_hard_to1,it's,hard,to,it's_hard_to,69
it's_hard_to2,it's,hard,to,it's_hard_to,7
it's_not_a,it's,not,a,it's_not_a,77
it's_time_to1,it's,time,to,it's_time_to,121
it's_time_to,it's,time,to,it's_time_to,72
it's_time_for,it's,time,for,it's_time_for,66
join_us_for,join,us,for,join_us_for,79
just_a_few,just,a,few,just_a_few,102
just_a_little,just,a,little,just_a_little,72
just_a_few1,just,a,few,just_a_few,5
just_found_out,just,found,out,just_found_out,72
just_got_a,just,got,a,just_got_a,65
just_had_a,just,had,a,just_had_a,85
just_have_to,just,have,to,just_have_to,85
just_have_to1,just,have,to,just_have_to,76
just_need_to,just,need,to,just_need_to,65
just_saw_a,just,saw,a,just_saw_a,81
just_want_to1,just,want,to,just_want_to,156
just_want_to,just,want,to,just_want_to,73
just_wanted_to1,just,wanted,to,just_wanted_to,74
just_wanted_to,just,wanted,to,just_wanted_to,72
just_woke_up,just,woke,up,just_woke_up,66
keep_it_up,keep,it,up,keep_it_up,72
keep_up_the,keep,up,the,keep_up_the,108
kick_kd_â,kick,kd,â,kick_kd_â,5
killed_in_a,killed,in,a,killed_in_a,6
knew_we_had,knew,we,had,knew_we_had,5
know_how_to1,know,how,to,know_how_to,162
know_how_to,know,how,to,know_how_to,99
know_how_to2,know,how,to,know_how_to,7
know_if_you,know,if,you,know_if_you,126
know_that_i,know,that,i,know_that_i,99
know_what_you,know,what,you,know_what_you,105
know_what_to1,know,what,to,know_what_to,75
know_what_i,know,what,i,know_what_i,70
know_what_to,know,what,to,know_what_to,69
know_what_i1,know,what,i,know_what_i,61
known_as_the,known,as,the,known_as_the,75
known_as_the1,known,as,the,known_as_the,6
last_day_of,last,day,of,last_day_of,87
last_night_i,last,night,i,last_night_i,65
last_year_and,last,year,and,last_year_and,7
last_year_the,last,year,the,last_year_the,6
last_year_with,last,year,with,last_year_with,5
late_in_the,late,in,the,late_in_the,7
lead_in_the,lead,in,the,lead_in_the,5
learn_how_to,learn,how,to,learn_how_to,66
legislation_that_would,legislation,that,would,legislation_that_would,5
less_than_a,less,than,a,less_than_a,6
let_me_know1,let,me,know,let_me_know,412
let_me_know,let,me,know,let_me_know,122
let_us_know,let,us,know,let_us_know,213
let_you_know,let,you,know,let_you_know,101
like_a_lot,like,a,lot,like_a_lot,5
like_to_see,like,to,see,like_to_see,68
likely_to_be,likely,to,be,likely_to_be,6
listening_to_the,listening,to,the,listening_to_the,70
little_bit_of,little,bit,of,little_bit_of,111
little_bit_of1,little,bit,of,little_bit_of,9
long_as_they,long,as,they,long_as_they,5
look_at_the,look,at,the,look_at_the,206
look_at_the1,look,at,the,look_at_the,63
look_at_the2,look,at,the,look_at_the,7
look_forward_to1,look,forward,to,look_forward_to,282
look_forward_to,look,forward,to,look_forward_to,125
look_forward_to2,look,forward,to,look_forward_to,7
look_like_a,look,like,a,look_like_a,70
looking_for_a1,looking,for,a,looking_for_a,223
looking_for_a,looking,for,a,looking_for_a,98
looking_for_a2,looking,for,a,looking_for_a,8
looking_forward_to1,looking,forward,to,looking_forward_to,884
looking_forward_to,looking,forward,to,looking_forward_to,189
looks_like_a,looks,like,a,looks_like_a,123
los_angeles_and,los,angeles,and,los_angeles_and,6
loss_to_the,loss,to,the,loss_to_the,7
lot_of_people,lot,of,people,lot_of_people,72
lot_of_people1,lot,of,people,lot_of_people,11
love_it_when,love,it,when,love_it_when,65
love_to_see,love,to,see,love_to_see,98
love_to_hear,love,to,hear,love_to_hear,60
love_you_too,love,you,too,love_you_too,128
love_you_so,love,you,so,love_you_so,97
love_you_3,love,you,3,love_you_3,79
love_you_and,love,you,and,love_you_and,68
love_you_guys,love,you,guys,love_you_guys,57
made_my_day,made,my,day,made_my_day,68
make_a_difference,make,a,difference,make_a_difference,6
make_it_happen,make,it,happen,make_it_happen,58
make_it_to,make,it,to,make_it_to,56
make_sure_to,make,sure,to,make_sure_to,106
make_sure_you1,make,sure,you,make_sure_you,106
make_sure_you,make,sure,you,make_sure_you,81
make_sure_that,make,sure,that,make_sure_that,74
makes_me_feel,makes,me,feel,makes_me_feel,69
many_of_the,many,of,the,many_of_the,143
many_of_us,many,of,us,many_of_us,71
many_of_the1,many,of,the,many_of_the,12
may_not_be,may,not,be,may_not_be,109
me_and_i,me,and,i,me_and_i,100
me_and_my1,me,and,my,me_and_my,90
me_and_my,me,and,my,me_and_my,68
me_and_i1,me,and,i,me_and_i,56
me_if_you,me,if,you,me_if_you,78
me_in_the,me,in,the,me_in_the,93
me_in_the1,me,in,the,me_in_the,86
me_know_if,me,know,if,me_know_if,113
me_me_me,me,me,me,me_me_me,56
me_on_twitter,me,on,twitter,me_on_twitter,56
me_want_to,me,want,to,me_want_to,64
meant_to_be,meant,to,be,meant_to_be,71
member_of_the,member,of,the,member_of_the,94
member_of_the1,member,of,the,member_of_the,7
members_of_the,members,of,the,members_of_the,114
members_of_the1,members,of,the,members_of_the,14
middle_of_the,middle,of,the,middle_of_the,116
middle_of_the1,middle,of,the,middle_of_the,9
might_as_well,might,as,well,might_as_well,72
might_be_the,might,be,the,might_be_the,5
might_have_to,might,have,to,might_have_to,58
million_a_year,million,a,year,million_a_year,6
millions_of_dollars,millions,of,dollars,millions_of_dollars,13
minutes_or_until,minutes,or,until,minutes_or_until,72
miss_you_too,miss,you,too,miss_you_too,116
moment_when_you,moment,when,you,moment_when_you,90
more_and_more,more,and,more,more_and_more,125
more_likely_to,more,likely,to,more_likely_to,9
more_of_a,more,of,a,more_of_a,102
more_or_less,more,or,less,more_or_less,68
more_than_a,more,than,a,more_than_a,161
more_than_a1,more,than,a,more_than_a,58
more_than_a2,more,than,a,more_than_a,18
more_than_two,more,than,two,more_than_two,8
more_than_100,more,than,100,more_than_100,7
more_than_20,more,than,20,more_than_20,5
more_than_half,more,than,half,more_than_half,5
more_than_30,more,than,30,more_than_30,5
most_of_the,most,of,the,most_of_the,333
most_of_the1,most,of,the,most_of_the,72
most_of_my,most,of,my,most_of_my,71
most_of_the2,most,of,the,most_of_the,30
most_of_them,most,of,them,most_of_them,5
mothers_day_to,mothers,day,to,mothers_day_to,65
mother's_day_to,mother's,day,to,mother's_day_to,68
much_as_i,much,as,i,much_as_i,92
much_as_i1,much,as,i,much_as_i,57
much_for_the,much,for,the,much_for_the,122
much_of_the,much,of,the,much_of_the,90
much_of_a,much,of,a,much_of_a,69
much_of_the1,much,of,the,much_of_the,6
my_best_friend,my,best,friend,my_best_friend,101
my_husband_and,my,husband,and,my_husband_and,78
my_way_to,my,way,to,my_way_to,136
need_to_get,need,to,get,need_to_get,199
need_to_be,need,to,be,need_to_be,195
need_to_be1,need,to,be,need_to_be,169
need_to_go,need,to,go,need_to_go,94
need_to_do,need,to,do,need_to_do,77
need_to_do1,need,to,do,need_to_do,74
need_to_be2,need,to,be,need_to_be,10
need_to_do2,need,to,do,need_to_do,5
needs_to_be,needs,to,be,needs_to_be,118
needs_to_be1,needs,to,be,needs_to_be,97
needs_to_be2,needs,to,be,needs_to_be,6
new_york_city,new,york,city,new_york_city,11
new_york_times,new,york,times,new_york_times,7
next_to_me,next,to,me,next_to_me,61
nice_to_meet,nice,to,meet,nice_to_meet,81
nice_to_see,nice,to,see,nice_to_see,78
no_idea_what,no,idea,what,no_idea_what,73
no_matter_what1,no,matter,what,no_matter_what,134
no_matter_how,no,matter,how,no_matter_how,116
no_matter_what,no,matter,what,no_matter_what,102
no_matter_how1,no,matter,how,no_matter_how,64
no_matter_how2,no,matter,how,no_matter_how,5
none_of_the,none,of,the,none_of_the,7
not_a_good,not,a,good,not_a_good,63
not_going_to,not,going,to,not_going_to,191
not_going_to1,not,going,to,not_going_to,122
not_going_to2,not,going,to,not_going_to,21
not_so_much,not,so,much,not_so_much,69
not_sure_if,not,sure,if,not_sure_if,66
not_the_only,not,the,only,not_the_only,57
not_to_mention,not,to,mention,not_to_mention,124
not_to_be,not,to,be,not_to_be,89
not_to_be1,not,to,be,not_to_be,56
not_to_be2,not,to,be,not_to_be,6
not_to_mention1,not,to,mention,not_to_mention,5
not_want_to,not,want,to,not_want_to,87
not_want_to1,not,want,to,not_want_to,6
nothing_to_do,nothing,to,do,nothing_to_do,71
nothing_to_do1,nothing,to,do,nothing_to_do,5
now_i_am,now,i,am,now_i_am,72
now_i_have,now,i,have,now_i_have,65
now_that_i,now,that,i,now_that_i,71
occupy_st_louis,occupy,st,louis,occupy_st_louis,6
œi_donâ_t,œi,donâ,t,œi_donâ_t,7
of_a_new,of,a,new,of_a_new,8
of_all_the,of,all,the,of_all_the,167
of_all_time,of,all,time,of_all_time,71
of_all_the1,of,all,the,of_all_the,59
of_course_i,of,course,i,of_course_i,123
of_course_the,of,course,the,of_course_the,92
of_course_i1,of,course,i,of_course_i,68
of_dollars_in,of,dollars,in,of_dollars_in,6
of_his_career,of,his,career,of_his_career,5
of_more_than,of,more,than,of_more_than,6
of_my_life1,of,my,life,of_my_life,166
of_my_favorite,of,my,favorite,of_my_favorite,142
of_my_life,of,my,life,of_my_life,134
of_my_favorite1,of,my,favorite,of_my_favorite,123
of_new_jersey,of,new,jersey,of_new_jersey,5
of_one_of,of,one,of,of_one_of,81
of_one_of1,of,one,of,of_one_of,6
of_san_francisco,of,san,francisco,of_san_francisco,5
of_st_louis,of,st,louis,of_st_louis,11
of_the_day1,of,the,day,of_the_day,348
of_the_most,of,the,most,of_the_most,284
of_the_day,of,the,day,of_the_day,241
of_the_world,of,the,world,of_the_world,238
of_the_year1,of,the,year,of_the_year,186
of_the_best1,of,the,best,of_the_best,180
of_the_year,of,the,year,of_the_year,170
of_the_best,of,the,best,of_the_best,141
of_the_time,of,the,time,of_the_time,137
of_the_book,of,the,book,of_the_book,132
of_the_first,of,the,first,of_the_first,130
of_the_other,of,the,other,of_the_other,122
of_the_house,of,the,house,of_the_house,121
of_the_new,of,the,new,of_the_new,110
of_the_same,of,the,same,of_the_same,102
of_the_things,of,the,things,of_the_things,101
of_the_world1,of,the,world,of_the_world,96
of_the_week1,of,the,week,of_the_week,94
of_the_people,of,the,people,of_the_people,93
of_the_week,of,the,week,of_the_week,93
of_the_story,of,the,story,of_the_story,88
of_the_night,of,the,night,of_the_night,82
of_the_way,of,the,way,of_the_way,77
of_the_night1,of,the,night,of_the_night,77
of_the_most1,of,the,most,of_the_most,72
of_the_month,of,the,month,of_the_month,57
of_the_year2,of,the,year,of_the_year,27
of_the_most2,of,the,most,of_the_most,20
of_the_game,of,the,game,of_the_game,19
of_the_season,of,the,season,of_the_season,18
of_the_best2,of,the,best,of_the_best,15
of_the_new1,of,the,new,of_the_new,13
of_the_day2,of,the,day,of_the_day,13
of_the_state,of,the,state,of_the_state,13
of_the_world2,of,the,world,of_the_world,12
of_the_more,of,the,more,of_the_more,11
of_the_u.s,of,the,u.s,of_the_u.s,9
of_the_top,of,the,top,of_the_top,9
of_the_house1,of,the,house,of_the_house,8
of_the_last,of,the,last,of_the_last,8
of_the_city's,of,the,city's,of_the_city's,7
of_the_same1,of,the,same,of_the_same,7
of_the_city,of,the,city,of_the_city,7
of_the_week2,of,the,week,of_the_week,6
of_the_population,of,the,population,of_the_population,6
of_the_time1,of,the,time,of_the_time,6
of_the_largest,of,the,largest,of_the_largest,6
of_the_few,of,the,few,of_the_few,6
of_the_bill,of,the,bill,of_the_bill,5
of_the_state's,of,the,state's,of_the_state's,5
of_the_first1,of,the,first,of_the_first,5
of_the_main,of,the,main,of_the_main,5
of_the_things1,of,the,things,of_the_things,5
of_their_own,of,their,own,of_their_own,81
of_their_own1,of,their,own,of_their_own,5
of_thousands_of,of,thousands,of,of_thousands_of,7
of_trying_to,of,trying,to,of_trying_to,5
of_you_who,of,you,who,of_you_who,103
of_your_life,of,your,life,of_your_life,64
off_to_the,off,to,the,off_to_the,63
oh_my_god,oh,my,god,oh_my_god,115
on_a_recent,on,a,recent,on_a_recent,5
on_behalf_of,on,behalf,of,on_behalf_of,6
on_both_sides,on,both,sides,on_both_sides,5
on_how_to,on,how,to,on_how_to,6
on_my_way,on,my,way,on_my_way,190
on_my_phone,on,my,phone,on_my_phone,56
on_suspicion_of,on,suspicion,of,on_suspicion_of,7
on_the_other,on,the,other,on_the_other,238
on_the_way1,on,the,way,on_the_way,157
on_the_way,on,the,way,on_the_way,129
on_the_floor,on,the,floor,on_the_floor,105
on_the_back,on,the,back,on_the_back,85
on_the_radio,on,the,radio,on_the_radio,81
on_the_right,on,the,right,on_the_right,80
on_the_phone,on,the,phone,on_the_phone,80
on_the_ground,on,the,ground,on_the_ground,78
on_the_side,on,the,side,on_the_side,72
on_the_road,on,the,road,on_the_road,70
on_the_floor1,on,the,floor,on_the_floor,69
on_the_other1,on,the,other,on_the_other,60
on_the_show,on,the,show,on_the_show,58
on_the_same,on,the,same,on_the_same,57
on_the_new,on,the,new,on_the_new,56
on_the_other2,on,the,other,on_the_other,12
on_the_road1,on,the,road,on_the_road,12
on_the_same1,on,the,same,on_the_same,9
on_the_way2,on,the,way,on_the_way,8
on_the_front,on,the,front,on_the_front,8
on_the_field,on,the,field,on_the_field,7
on_the_job,on,the,job,on_the_job,6
on_the_ground1,on,the,ground,on_the_ground,5
on_the_new1,on,the,new,on_the_new,5
on_the_floor2,on,the,floor,on_the_floor,5
on_to_the,on,to,the,on_to_the,77
on_top_of,on,top,of,on_top_of,198
one_of_the,one,of,the,one_of_the,1511
one_of_the1,one,of,the,one_of_the,551
one_of_my,one,of,my,one_of_my,453
one_of_my1,one,of,my,one_of_my,358
one_of_those,one,of,those,one_of_those,260
one_of_those1,one,of,those,one_of_those,177
one_of_them,one,of,them,one_of_them,147
one_of_the2,one,of,the,one_of_the,140
one_of_these,one,of,these,one_of_these,100
one_of_our,one,of,our,one_of_our,99
one_of_our1,one,of,our,one_of_our,98
one_of_his,one,of,his,one_of_his,73
one_of_these1,one,of,these,one_of_these,59
one_of_them1,one,of,them,one_of_them,57
one_of_your,one,of,your,one_of_your,57
one_of_his1,one,of,his,one_of_his,6
one_of_those2,one,of,those,one_of_those,6
one_of_two,one,of,two,one_of_two,6
one_of_three,one,of,three,one_of_three,5
one_of_her,one,of,her,one_of_her,5
or_at_least,or,at,least,or_at_least,89
ought_to_be,ought,to,be,ought_to_be,5
out_in_the,out,in,the,out_in_the,111
out_in_the1,out,in,the,out_in_the,68
out_in_the2,out,in,the,out_in_the,7
out_of_the,out,of,the,out_of_the,635
out_of_the1,out,of,the,out_of_the,295
out_of_my,out,of,my,out_of_my,127
out_of_my1,out,of,my,out_of_my,122
out_of_a,out,of,a,out_of_a,90
out_of_the2,out,of,the,out_of_the,42
out_of_work,out,of,work,out_of_work,5
out_on_the,out,on,the,out_on_the,84
out_on_the1,out,on,the,out_on_the,64
out_on_the2,out,on,the,out_on_the,7
out_there_and,out,there,and,out_there_and,8
out_to_be,out,to,be,out_to_be,110
out_to_the1,out,to,the,out_to_the,102
out_to_the,out,to,the,out_to_the,76
out_to_be1,out,to,be,out_to_be,6
over_and_over,over,and,over,over_and_over,88
over_from_the,over,from,the,over_from_the,7
over_the_years,over,the,years,over_the_years,129
over_the_past,over,the,past,over_the_past,123
over_the_last,over,the,last,over_the_last,90
over_the_past1,over,the,past,over_the_past,18
over_the_years1,over,the,years,over_the_years,12
over_the_last1,over,the,last,over_the_last,7
over_the_world,over,the,world,over_the_world,6
over_the_next,over,the,next,over_the_next,6
over_to_the,over,to,the,over_to_the,82
part_of_the,part,of,the,part_of_the,495
part_of_the1,part,of,the,part_of_the,202
part_of_a,part,of,a,part_of_a,100
part_of_my,part,of,my,part_of_my,80
part_of_the2,part,of,the,part_of_the,38
part_of_a1,part,of,a,part_of_a,16
part_of_this,part,of,this,part_of_this,8
part_of_an,part,of,an,part_of_an,6
part_of_our,part,of,our,part_of_our,5
parts_of_the,parts,of,the,parts_of_the,81
parts_of_the1,parts,of,the,parts_of_the,7
past_two_years,past,two,years,past_two_years,6
people_in_the,people,in,the,people_in_the,94
people_in_the1,people,in,the,people_in_the,5
people_who_are,people,who,are,people_who_are,85
percent_of_the,percent,of,the,percent_of_the,21
percent_of_their,percent,of,their,percent_of_their,5
petre_kick_kd,petre,kick,kd,petre_kick_kd,5
please_follow_me,please,follow,me,please_follow_me,261
please_please_please,please,please,please,please_please_please,70
points_in_the,points,in,the,points_in_the,7
possession_of_a,possession,of,a,possession_of_a,7
power_from_the,power,from,the,power_from_the,5
president_barack_obama,president,barack,obama,president_barack_obama,14
president_barack_obama's,president,barack,obama's,president_barack_obama's,8
president_of_the,president,of,the,president_of_the,16
proud_of_you,proud,of,you,proud_of_you,88
ready_for_the,ready,for,the,ready_for_the,143
ready_for_a,ready,for,a,ready_for_a,75
ready_to_go,ready,to,go,ready_to_go,86
really_need_to,really,need,to,really_need_to,74
really_want_to,really,want,to,really_want_to,90
reminds_me_of1,reminds,me,of,reminds_me_of,105
reminds_me_of,reminds,me,of,reminds_me_of,69
rest_of_the,rest,of,the,rest_of_the,310
rest_of_the1,rest,of,the,rest_of_the,167
rest_of_the2,rest,of,the,rest_of_the,15
return_to_the,return,to,the,return_to_the,9
returned_to_the,returned,to,the,returned_to_the,7
right_now_i,right,now,i,right_now_i,59
role_in_the,role,in,the,role_in_the,11
round_of_the,round,of,the,round_of_the,8
rt_if_you,rt,if,you,rt_if_you,162
s_o_to,s,o,to,s_o_to,162
said_â_œi,said,â,œi,said_â_œi,10
said_adding_that,said,adding,that,said_adding_that,5
said_he_was,said,he,was,said_he_was,17
said_he_is,said,he,is,said_he_is,9
said_he_had,said,he,had,said_he_had,8
said_he_believes,said,he,believes,said_he_believes,6
said_he_would,said,he,would,said_he_would,6
said_he_has,said,he,has,said_he_has,5
said_in_a,said,in,a,said_in_a,26
said_in_the,said,in,the,said_in_the,10
said_in_an,said,in,an,said_in_an,8
said_it_was,said,it,was,said_it_was,10
said_it_is,said,it,is,said_it_is,10
said_it_would,said,it,would,said_it_would,7
said_it's_a,said,it's,a,said_it's_a,5
said_of_the,said,of,the,said_of_the,10
said_she_was,said,she,was,said_she_was,6
said_that_the,said,that,the,said_that_the,8
said_that_he,said,that,he,said_that_he,5
said_the_man,said,the,man,said_the_man,5
said_they_are,said,they,are,said_they_are,5
see_you_there,see,you,there,see_you_there,156
see_you_in,see,you,in,see_you_in,107
see_you_at,see,you,at,see_you_at,106
see_you_soon,see,you,soon,see_you_soon,105
see_you_on,see,you,on,see_you_on,59
seem_to_be,seem,to,be,seem_to_be,130
seem_to_be1,seem,to,be,seem_to_be,5
seemed_to_be,seemed,to,be,seemed_to_be,81
