,X1,X2,frequency
spokesman said,spokesman,said,5
spring break,spring,break,26
spring training,spring,training,7
spring training,spring,training,6
square feet,square,feet,10
square feet,square,feet,10
square foot,square,foot,6
st charles,st,charles,11
st charles,st,charles,8
st joseph,st,joseph,5
st jude,st,jude,6
st louis,st,louis,74
st louis,st,louis,62
st louis,st,louis,33
st paul,st,paul,5
st peters,st,peters,7
stamp set,stamp,set,49
star trek,star,trek,28
star wars,star,wars,27
start new,start,new,36
start season,start,season,9
started new,started,new,26
started working,started,working,30
starting pitcher,starting,pitcher,5
state department,state,department,5
state department,state,department,5
state law,state,law,9
state law,state,law,8
state police,state,police,10
state police,state,police,5
state rep,state,rep,5
state said,state,said,6
state sen,state,sen,6
state sen,state,sen,6
state university,state,university,11
state university,state,university,6
stay home,stay,home,43
stay tuned,stay,tuned,51
step back,step,back,30
steve sweeney,steve,sweeney,5
still alive,still,alive,35
still feel,still,feel,28
still love,still,love,42
still need,still,need,30
still think,still,think,31
stock exchange,stock,exchange,5
stock exchange,stock,exchange,5
stolen property,stolen,property,5
story short,story,short,26
street th,street,th,8
students seniors,students,seniors,5
stuff like,stuff,like,28
subject matter,subject,matter,33
sunday afternoon,sunday,afternoon,25
sunday morning,sunday,morning,45
sunday night,sunday,night,25
sunday night,sunday,night,5
sunday pm,sunday,pm,5
super bowl,super,bowl,22
super bowl,super,bowl,12
superior court,superior,court,10
supreme court,supreme,court,58
supreme court,supreme,court,19
supreme court,supreme,court,19
sure ’s,sure,’s,36
sure can,sure,can,37
sure check,sure,check,38
sure enough,sure,enough,31
surprised see,surprised,see,5
take advantage,take,advantage,38
take advantage,take,advantage,9
take away,take,away,51
take care,take,care,121
take care,take,care,5
take home,take,home,28
take long,take,long,43
take look,take,look,78
take one,take,one,30
take photos,take,photos,25
take picture,take,picture,30
take pictures,take,pictures,55
take place,take,place,66
take place,take,place,9
take place,take,place,7
take time,take,time,97
take us,take,us,35
takes place,takes,place,41
takes time,takes,time,34
taking care,taking,care,34
taking pictures,taking,pictures,27
taking place,taking,place,53
taking time,taking,time,33
tampa bay,tampa,bay,7
tampa bay,tampa,bay,5
task force,task,force,9
task force,task,force,5
tax credits,tax,credits,5
tax dollars,tax,dollars,5
tax increases,tax,increases,7
tea party,tea,party,25
tea party,tea,party,8
team said,team,said,5
tell people,tell,people,25
tell story,tell,story,32
tell us,tell,us,101
tell us,tell,us,6
telling us,telling,us,28
tells story,tells,story,27
tells us,tells,us,67
ten minutes,ten,minutes,29
ten years,ten,years,79
th anniversary,th,anniversary,38
th anniversary,th,anniversary,13
th anniversary,th,anniversary,8
th birthday,th,birthday,49
th century,th,century,106
th century,th,century,6
th district,th,district,8
th grade,th,grade,33
th pm,th,pm,27
th street,th,street,18
th th,th,th,27
thank everyone,thank,everyone,32
thank god,thank,god,60
thank goodness,thank,goodness,29
thank much,thank,much,59
thanks much,thanks,much,35
thanks stopping,thanks,stopping,35
thats going,thats,going,5
thats good,thats,good,6
thats just,thats,just,35
thats just,thats,just,5
thats right,thats,right,37
theme park,theme,park,5
theres always,theres,always,5
theres bubble,theres,bubble,6
theres lot,theres,lot,9
theres nothing,theres,nothing,35
theres nothing,theres,nothing,5
theres still,theres,still,5
theyre going,theyre,going,5
thing can,thing,can,55
thing ever,thing,ever,29
thing know,thing,know,26
things can,things,can,68
things come,things,come,28
things get,things,get,44
things go,things,go,34
things going,things,going,47
things going,things,going,6
things happen,things,happen,45
things ive,things,ive,27
things just,things,just,28
things life,things,life,30
things like,things,like,142
things like,things,like,5
things love,things,love,25
things make,things,make,36
things need,things,need,26
things people,things,people,25
things really,things,really,30
things say,things,say,29
think ’ll,think,’ll,29
think ’m,think,’m,41
think ’re,think,’re,35
think ’s,think,’s,121
think ’ve,think,’ve,36
think can,think,can,80
think can,think,can,6
think can,think,can,5
think good,think,good,27
think ill,think,ill,31
think im,think,im,51
think ive,think,ive,30
think just,think,just,49
think know,think,know,25
think like,think,like,30
think may,think,may,30
think might,think,might,54
think much,think,much,31
think need,think,need,43
think one,think,one,56
think people,think,people,37
think really,think,really,35
think something,think,something,27
think things,think,things,34
think way,think,way,27
third base,third,base,5
third period,third,period,6
third quarter,third,quarter,14
third quarter,third,quarter,5
though ’s,though,’s,32
though im,though,im,27
though may,though,may,31
thought ’d,thought,’d,32
thought going,thought,going,27
thought id,thought,id,82
thought might,thought,might,47
thought share,thought,share,28
three days,three,days,84
three days,three,days,8
three days,three,days,5
three four,three,four,31
three four,three,four,7
three games,three,games,6
three games,three,games,5
three hours,three,hours,34
three hours,three,hours,5
three months,three,months,55
three months,three,months,10
three months,three,months,7
three people,three,people,26
three people,three,people,6
three seasons,three,seasons,5
three teams,three,teams,5
three times,three,times,53
three times,three,times,13
three times,three,times,6
three weeks,three,weeks,51
three weeks,three,weeks,7
three years,three,years,110
three years,three,years,33
three years,three,years,29
throughout day,throughout,day,28
thursday morning,thursday,morning,5
thursday night,thursday,night,28
thursday night,thursday,night,8
thursday night,thursday,night,5
thus far,thus,far,31
ticket sales,ticket,sales,5
ticket sales,ticket,sales,5
tight end,tight,end,5
tim holtz,tim,holtz,30
time ’s,time,’s,36
time ago,time,ago,32
time also,time,also,27
time around,time,around,52
time can,time,can,47
time come,time,come,34
time day,time,day,37
time effort,time,effort,25
time even,time,even,29
time family,time,family,26
time get,time,get,117
time get,time,get,7
time go,time,go,66
time got,time,got,41
time im,time,im,30
time just,time,just,47
time last,time,last,5
time life,time,life,33
time like,time,like,27
time make,time,make,31
time now,time,now,50
time one,time,one,35
time read,time,read,37
time said,time,said,5
time see,time,see,43
time since,time,since,46
time since,time,since,7
time since,time,since,5
time spent,time,spent,39
time take,time,take,41
time think,time,think,35
time time,time,time,103
time went,time,went,34
time work,time,work,27
time year,time,year,93
time year,time,year,9
times day,times,day,32
times week,times,week,32
today im,today,im,27
today one,today,one,26
told police,told,police,8
told police,told,police,5
told reporters,told,reporters,7
told us,told,us,65
told us,told,us,7
took place,took,place,48
took place,took,place,7
took place,took,place,5
took time,took,time,39
took us,took,us,33
towards end,towards,end,37
town hall,town,hall,5
track field,track,field,7
track field,track,field,5
trade center,trade,center,5
train station,train,station,5
training camp,training,camp,7
trenton â€”,trenton,â€”,10
trenton â€”,trenton,â€”,5
try get,try,get,56
try keep,try,keep,34
try make,try,make,42
try new,try,new,29
trying figure,trying,figure,44
trying find,trying,find,54
trying get,trying,get,104
trying get,trying,get,7
trying get,trying,get,5
trying make,trying,make,55
tuesday morning,tuesday,morning,8
tuesday night,tuesday,night,8
turn around,turn,around,43
turned around,turned,around,26
tv show,tv,show,36
twenty minutes,twenty,minutes,25
twenty years,twenty,years,35
two books,two,books,26
two candidates,two,candidates,5
two children,two,children,8
two children,two,children,6
two days,two,days,111
two days,two,days,6
two decades,two,decades,11
two different,two,different,54
two dozen,two,dozen,6
two dozen,two,dozen,5
two games,two,games,11
two games,two,games,5
two goals,two,goals,6
two hours,two,hours,63
two hours,two,hours,9
two hours,two,hours,9
two men,two,men,28
two months,two,months,62
two months,two,months,12
two months,two,months,6
two people,two,people,51
two people,two,people,8
two people,two,people,6
two seasons,two,seasons,6
two things,two,things,62
two three,two,three,60
two three,two,three,12
two three,two,three,6
two weeks,two,weeks,161
two weeks,two,weeks,23
two weeks,two,weeks,14
two years,two,years,158
two years,two,years,45
two years,two,years,34
type diabetes,type,diabetes,5
unemployment rate,unemployment,rate,7
unemployment rate,unemployment,rate,5
united nations,united,nations,25
united states,united,states,252
united states,united,states,50
united states,united,states,35
upon time,upon,time,27
upon us,upon,us,31
us attorney,us,attorney,8
us attorney,us,attorney,5
us back,us,back,29
us can,us,can,33
us department,us,department,5
us district,us,district,9
us district,us,district,7
us even,us,even,29
us feel,us,feel,25
us get,us,get,31
us get,us,get,5
us govt,us,govt,5
us just,us,just,32
us know,us,know,52
us make,us,make,27
us navy,us,navy,5
us officials,us,officials,5
us one,us,one,28
us rep,us,rep,6
us sen,us,sen,5
us supreme,us,supreme,6
us treas,us,treas,5
used one,used,one,25
valentine’s day,valentine’s,day,25
valentines day,valentines,day,53
venture capital,venture,capital,5
vice president,vice,president,25
vice president,vice,president,19
vice president,vice,president,19
video games,video,games,31
video games,video,games,5
vitamin c,vitamin,c,30
w bush,w,bush,5
wait get,wait,get,26
wait see,wait,see,59
wait wait,wait,wait,25
walk around,walk,around,40
walk away,walk,away,42
walked away,walked,away,26
walking around,walking,around,38
wall street,wall,street,40
wall street,wall,street,11
wall street,wall,street,7
walsh said,walsh,said,5
want get,want,get,73
want get,want,get,5
want give,want,give,46
want go,want,go,104
want go,want,go,8
want go,want,go,6
want hear,want,hear,33
want know,want,know,75
want live,want,live,28
want look,want,look,31
want make,want,make,72
want miss,want,miss,28
want read,want,read,35
want say,want,say,31
want see,want,see,92
want share,want,share,29
want something,want,something,25
want take,want,take,36
want talk,want,talk,25
want try,want,try,26
want write,want,write,36
wanted get,wanted,get,36
wanted go,wanted,go,38
wanted know,wanted,know,40
wanted make,wanted,make,70
wanted make,wanted,make,6
wanted see,wanted,see,33
wanted share,wanted,share,43
wanted something,wanted,something,29
wants play,wants,play,5
war ii,war,ii,7
war ii,war,ii,5
washington county,washington,county,5
washington dc,washington,dc,29
washington dc,washington,dc,10
washington dc,washington,dc,7
washington state,washington,state,5
washington state,washington,state,5
wasnt even,wasnt,even,5
wasnt going,wasnt,going,25
wasnt sure,wasnt,sure,33
waste time,waste,time,31
way ’s,way,’s,28
way around,way,around,38
way back,way,back,89
way can,way,can,62
way get,way,get,62
way go,way,go,42
way go,way,go,8
way home,way,home,56
way life,way,life,43
way make,way,make,35
way much,way,much,33
way think,way,think,25
way way,way,way,25
way work,way,work,29
weâ€™re going,weâ€™re,going,6
weather service,weather,service,6
web site,web,site,30
webster groves,webster,groves,5
wednesday morning,wednesday,morning,5
wednesday night,wednesday,night,5
week ago,week,ago,29
week ago,week,ago,5
weeks ago,weeks,ago,165
weeks ago,weeks,ago,14
weeks ago,weeks,ago,14
weeks challenge,weeks,challenge,25
weeks later,weeks,later,32
weight loss,weight,loss,38
well ’s,well,’s,58
well can,well,can,34
well done,well,done,53
well enough,well,enough,39
well first,well,first,26
well get,well,get,34
well good,well,good,25
well im,well,im,38
well just,well,just,63
well know,well,know,31
well known,well,known,42
well maybe,well,maybe,30
well now,well,now,25
well one,well,one,29
well see,well,see,49
well thats,well,thats,38
well worth,well,worth,39
went back,went,back,89
went back,went,back,6
went bed,went,bed,27
went home,went,home,26
went work,went,work,5
west coast,west,coast,28
west side,west,side,8
western conference,western,conference,5
weve got,weve,got,8
weve got,weve,got,8
whatever reason,whatever,reason,27
whats going,whats,going,25
whats going,whats,going,5
whats happened,whats,happened,5
whether ’s,whether,’s,25
whipped cream,whipped,cream,35
white house,white,house,61
white house,white,house,28
white house,white,house,16
white people,white,people,30
whole day,whole,day,29
whole family,whole,family,27
whole lot,whole,lot,57
whole new,whole,new,38
whole thing,whole,thing,76
whole world,whole,world,40
wide range,wide,range,30
wide receiver,wide,receiver,7
williams said,williams,said,5
win game,win,game,5
within days,within,days,6
within minutes,within,minutes,27
without doubt,without,doubt,25
without even,without,even,30
without much,without,much,28
won last,won,last,5
word god,word,god,42
work done,work,done,44
work done,work,done,5
work hard,work,hard,28
work together,work,together,28
work way,work,way,25
work well,work,well,38
working class,working,class,28
working hard,working,hard,25
working hard,working,hard,5
works well,works,well,38
world around,world,around,27
world cup,world,cup,34
world series,world,series,8
world series,world,series,6
world talking,world,talking,6
world war,world,war,69
world war,world,war,8
world war,world,war,7
write blog,write,blog,25
write something,write,something,27
x factor,x,factor,5
ya know,ya,know,26
year according,year,according,5
year ago,year,ago,45
year ago,year,ago,16
year ago,year,ago,10
year earlier,year,earlier,7
year later,year,later,28
year million,year,million,7
year new,year,new,5
year now,year,now,29
year now,year,now,6
year old,year,old,240
year since,year,since,27
year year,year,year,34
year year,year,year,5
yearold boy,yearold,boy,8
yearold daughter,yearold,daughter,6
yearold daughter,yearold,daughter,5
yearold girl,yearold,girl,6
yearold man,yearold,man,5
years according,years,according,5
years ago,years,ago,508
years ago,years,ago,64
years ago,years,ago,47
years back,years,back,27
years eve,years,eve,25
years eve,years,eve,7
years later,years,later,87
years later,years,later,11
years later,years,later,8
years now,years,now,84
years old,years,old,173
years old,years,old,14
years old,years,old,8
years prison,years,prison,8
years prison,years,prison,6
years said,years,said,5
years said,years,said,5
years since,years,since,42
yes yes,yes,yes,25
yet another,yet,another,96
yet still,yet,still,30
york city,york,city,95
york city,york,city,14
york city,york,city,9
york ny,york,ny,37
york times,york,times,69
york times,york,times,9
youd like,youd,like,45
youll see,youll,see,26
young adult,young,adult,30
young age,young,age,5
young children,young,children,27
young man,young,man,60
young man,young,man,6
young men,young,men,37
young people,young,people,75
young people,young,people,8
young people,young,people,7
young woman,young,woman,37
youre going,youre,going,40
youre going,youre,going,8
youre going,youre,going,6
youve got,youve,got,31
youve got,youve,got,15
youve got,youve,got,14
true love,TRUE,love,31
